company name,rating,reviews,salaries,interviews,job,benifits,photo
ESAF Microfinance & Investments (P),3.9,1.5k,6.2k,89,25,109,8
Taurus BPO Services,4.6,1.4k,698,15,--,525,6
Uflex,3.8,1.3k,6.3k,84,24,126,8
Intellect Design Arena,4.1,1.5k,11.4k,104,3,198,8
AECOM,4.3,1.4k,5.8k,93,3,254,13
SAP,4.3,1.4k,14.9k,215,142,318,12
TVS Sundram Fasteners,3.8,1.3k,6.3k,51,--,215,2
Citibank,4.0,1.4k,15.9k,132,6,216,6
CMA CGM,4.0,1.2k,7.7k,74,10,229,9
Cargill,4.2,1.4k,7k,78,89,165,7
Google,4.4,1.6k,21.6k,508,1,154,16
Microsoft Corporation,4.1,1.4k,23.5k,418,789,224,5
IDBI Bank,3.7,1.3k,5.7k,52,--,142,6
SGS,4.0,1.3k,5.7k,74,207,191,--
Reliance General Insurance,3.9,1.4k,6.6k,70,2,138,1
Dr Lal PathLabs,4.2,1.4k,4k,106,28,200,1
Honda,4.2,1.3k,4.9k,86,5,212,8
Novartis,4.1,1.4k,8.3k,105,22,244,22
Optum Global Solutions,4.2,1.4k,9.2k,122,--,182,--
Renault Nissan Technology & Business Centre India,3.9,1.4k,12.9k,83,5,237,8
L&T Energy Hydrocarbon,3.9,1.4k,7.4k,71,--,206,5
TCE,3.8,1.4k,7.4k,200,24,171,9
Kotak Securities,3.7,1.3k,8.3k,88,40,160,3
Meesho,3.7,1.4k,6.6k,209,66,290,11
Xoriant,3.9,1.4k,10.9k,128,55,438,41
YASH Technologies,3.8,1.4k,15.6k,106,23,179,34
Narayana Health,4.2,1.3k,5.2k,50,7,147,--
Honeywell Automation,3.8,1.3k,10.6k,79,--,170,--
AXA Business Services,3.9,1.3k,7.4k,55,96,177,5
Big Bazaar,4.3,1.2k,4k,37,--,194,--
SBI General Insurance,3.8,1.4k,5.2k,79,62,139,5
Spark Minda,3.9,1.3k,5.6k,95,5,43,7
BA Continuum,4.3,1.3k,11.1k,77,--,305,--
Apollo Pharmacy,3.9,1.4k,4.9k,92,107,130,4
Vedantu,3.4,1.4k,8.8k,170,45,164,6
Wockhardt,3.9,1.2k,4.6k,42,9,184,--
MetLife,4.3,1.3k,7.9k,59,754,249,--
Philips,3.9,1.3k,10.2k,113,79,193,9
CMS Infosystems,3.7,1.3k,4.1k,39,11,103,--
Tata Play,4.0,1.3k,4.8k,62,5,186,10
Biological E,4.2,1.3k,6k,92,29,233,--
Niva Bupa Health Insurance Company,3.7,1.4k,6.5k,81,23,125,1
NCR Corporation,4.1,1.3k,8.5k,83,176,187,6
Vardhman Fabrics,4.1,1.3k,5.6k,51,8,155,1
Crisil,3.7,1.4k,11.1k,148,302,247,18
Aragen Life Sciences,4.1,1.3k,5.7k,85,80,331,17
Exl India,3.6,1.3k,10.2k,66,--,173,--
G R Infraprojects,4.2,1.3k,4.9k,102,18,167,4
Safexpress,4.1,1.3k,5k,78,4,149,22
Frankfinn Institute of Air Hostess Training,4.0,1.4k,3.3k,77,40,195,243
Innovsource Services,4.0,1.3k,4.2k,50,1,128,5
Microland,3.6,1.3k,10.9k,99,28,167,5
Allstate,4.0,1.4k,10.5k,99,1,209,6
Panasonic Life Solutions India,4.1,1.3k,5.2k,53,1,106,5
SBI Securities,3.9,1.3k,5.3k,115,143,110,6
Amazon Transportation Services,4.1,1.3k,4.2k,129,--,260,3
R.R. Donnelley,4.0,1.3k,9.7k,81,13,293,--
Angel One,3.9,1.3k,6.8k,95,33,162,4
Metro Cash & Carry,4.3,1.3k,4.7k,42,6,170,2
PHN Technology,4.6,1.3k,225,22,7,25,3
Matrimony.com,4.4,1.3k,4.1k,63,92,86,--
SS&C TECHNOLOGIES,3.5,1.3k,11.6k,129,101,208,12
Bharat Financial Inclusion,4.0,1.5k,3.7k,43,3,188,11
Reckitt Benckiser,4.0,1.3k,5.9k,68,48,181,--
Bhushan Power & Steel,4.0,1.1k,4.6k,43,--,172,--
CitiusTech,3.5,1.4k,12.2k,177,20,172,6
USV,4.1,1.3k,5k,66,20,183,--
Aditya Birla Capital,4.0,1.3k,8k,109,9,166,24
Motherson Automotive Technologies and Engineering,4.0,1.2k,6.2k,89,5,166,1
Adecco Group,3.8,1.2k,6.1k,72,37,141,--
Dainik Bhaskar Group,4.4,1.2k,4.5k,42,64,157,1
Procter & Gamble,4.2,1.2k,5.6k,91,24,174,2
XL Dynamics,3.2,1.3k,3.7k,97,--,213,--
Yamaha Motor,4.2,1.2k,5.5k,41,26,189,--
Cavinkare,4.0,1.2k,4.7k,37,--,147,--
USHA International,4.2,1.2k,4.6k,64,17,163,5
Team Computers,3.7,1.3k,7.2k,73,84,122,1
HERE Technologies,3.8,1.3k,7.5k,58,25,297,--
Mercedes-Benz Research & Development India,4.0,1.3k,15k,150,--,228,7
NTPC,4.3,1.3k,3.6k,136,--,185,11
KONE,4.3,1.2k,5.2k,75,39,198,24
Isgec Heavy Engineering,3.9,1.2k,6.2k,92,22,144,148
DHL Supply Chain,4.3,1.2k,5.1k,66,10,148,7
Torrent Power,3.8,1.2k,6.5k,100,19,166,5
PI Industries,4.2,1.2k,6.1k,85,3,175,9
Mother Dairy Fruit & Vegetable,4.2,1.2k,4.5k,60,--,159,1
Honda Cars,4.4,1.3k,6k,68,--,202,1
Oberoi Group of Hotels,4.2,1.2k,4k,76,--,231,1
Honeywell Technology Solutions,3.9,1.2k,12.3k,116,--,215,--
DIVI'S Laboratories,3.9,1.2k,5.9k,62,--,181,--
Chegg,4.2,1.3k,3.3k,133,10,95,--
Saint-Gobain,4.0,1.3k,8.7k,141,48,259,9
Haier Appliances India,4.1,1.2k,5.8k,101,4,183,4
Johnson & Johnson,4.2,1.2k,5.8k,74,11,196,9
Sigma Electric Manufacturing Corporation,4.0,1.1k,3.8k,53,13,221,7
Paisabazaar.com,3.6,1.3k,5.9k,113,60,101,11
Jindal Saw,4.1,1.2k,5.3k,87,27,198,3
Credit Suisse,4.3,1.3k,15.9k,137,1,178,--
Arvind Group,4.1,1.2k,5.9k,48,15,301,6
Max Fashion,4.2,1.2k,3.5k,51,3,178,10
Verizon,4.2,1.2k,10.7k,80,37,213,5
Tata Communications Transformation Services,4.1,1.2k,8.3k,69,--,175,1
Hyatt Regency,4.2,1.1k,3.4k,34,--,200,--
Daikin,4.2,1.2k,5.8k,98,--,147,1
Star Union Dai-ichi Life Insurance,3.9,1.3k,4.7k,63,51,100,2
V-Guard Industries,4.4,1.2k,3.6k,39,14,272,15
Medi Assist India,3.8,1.2k,5.9k,84,21,142,--
DHL Express,4.1,1.2k,5.8k,46,62,180,--
Globiva,3.2,1.3k,4.1k,81,44,96,2
Exela Technologies,3.5,1.2k,7.4k,62,6,80,--
Haldiram Foods,4.0,1.2k,5.4k,86,8,103,--
FactSet,4.0,1.2k,9.1k,145,7,212,26
Tata Group,4.3,1.3k,5.5k,342,--,116,--
Nuvoco Vistas,4.2,1.2k,5.4k,71,2,133,2
Photon Interactive,4.0,1.3k,6.6k,76,194,167,--
CG Power and Industrial Solutions,3.9,1.2k,6.1k,59,6,226,3
UBS,3.9,1.2k,13.8k,144,1,146,11
HDFC Securities,3.7,1.2k,5.4k,87,47,138,5
Relaxo Footwear,4.3,1.1k,3.9k,63,42,149,--
Medanta the Medicity,4.1,1.1k,4.3k,73,52,154,2
Piramal Group,4.0,1.1k,4.7k,54,45,192,4
Orange Business,4.3,1.2k,8.7k,78,129,249,--
Hindustan Petroleum,4.3,1.2k,5.3k,75,--,153,4
Aadhar Housing Finance,4.1,1.2k,3.9k,56,1,105,2
BNP Paribas,3.9,1.2k,13.2k,130,3,189,8
FirstCry,3.8,1.2k,7.1k,128,122,86,2
Morgan Stanley,3.7,1.3k,19.6k,245,57,165,8
First American Corporation,3.9,1.2k,8k,64,46,161,--
NextComm Corporation,4.9,1.2k,13,4,--,43,3
Biocon Biologics,3.8,1.2k,5.2k,75,12,367,14
Aforeserve,3.5,1.1k,3.9k,45,24,90,--
Security and Intelligence Services (India),4.1,1.1k,3.9k,45,30,142,6
Oracle Cerner,3.7,1.2k,11.5k,134,--,269,1
Emami,4.1,1.1k,4.7k,65,11,136,3
Belrise Industries,3.8,1.1k,6.1k,72,20,103,--
Aon,3.9,1.1k,5.4k,47,21,212,--
IDC Technologies,3.3,1.2k,7.5k,53,18,51,13
Bata,3.9,1.1k,3.8k,51,--,121,5
Exotic Learning,4.5,1.2k,377,42,14,183,--
Fusion CX,3.2,1.2k,3.8k,81,3,101,12
Dell EMC,4.2,1.1k,11.1k,56,--,201,1
Hindustan Construction Company,4.3,1k,3.6k,65,1,164,--
Toyota Kirloskar Motor,4.4,1.1k,3.7k,39,--,173,3
Marriott International,4.3,1.1k,4.7k,64,572,186,2
Tata Power,4.0,1.2k,6.8k,130,7,150,9
KFC,4.2,1.1k,2.7k,48,--,157,1
Mercer,3.8,1.1k,9.4k,64,17,248,--
Tesco,3.9,1.1k,7.9k,76,41,199,4
Narayana Educational Society,3.7,1.1k,4k,46,5,121,--
Trident Group,3.5,1.1k,4.8k,73,12,133,17
Faurecia,4.0,1.1k,6.4k,51,27,203,1
Trent,4.1,1.1k,3.7k,58,18,136,--
TaskUs,3.5,1.2k,5.5k,138,95,128,10
Ola Electric Mobility,3.3,1.2k,6.2k,164,4,80,12
Altruist Technologies,3.2,1.2k,6.3k,98,5,82,2
Tata Advanced Systems,3.9,1.4k,8.8k,101,5,145,1
FedEx Express,4.2,1.1k,4k,60,39,195,--
Iris Software,4.2,1.2k,6.6k,91,32,289,9
Polycab Wires,4.1,1.1k,5.7k,72,10,94,6
Veritas Finance,4.7,1.2k,1.6k,61,1,42,21
L.G.Balakrishnan & Bros,3.7,1.1k,5.3k,50,--,134,--
Marico,4.1,1.1k,5k,68,12,167,4
Suguna Foods,4.1,1.1k,3.6k,62,13,141,7
HTC Global Services,3.6,1.1k,10.7k,100,23,115,--
iOPEX Technologies,3.7,1.1k,4.6k,48,11,572,28
NIIT,3.7,1.1k,6.2k,66,40,168,15
Infinite Computer Solutions,3.5,1.1k,11.4k,103,274,109,8
Muthoot Group,3.6,1.1k,3.9k,57,--,232,3
Hero Motors Company,4.1,1.1k,5.2k,67,--,128,4
Krishna Maruti,4.0,1.1k,4.8k,72,3,134,13
Sony,4.3,1k,4.3k,50,93,193,--
Jet Airways,4.6,989,4.1k,23,--,183,--
Bajaj Capital,3.9,1.1k,3.6k,65,37,110,7
Welspun,4.1,1.1k,4.5k,58,33,157,8
Manipal Hospitals,4.2,1.1k,4.8k,60,72,138,4
Oracle Financial Services Software,3.7,1.1k,12.6k,119,--,200,7
Pantaloons,4.2,1k,3k,48,--,133,--
Satin Creditcare Network,4.1,1.1k,3.2k,43,5,134,1
Nayara Energy,4.3,1k,5.6k,69,--,176,5
SRL Diagnostics,4.2,1k,3.5k,50,1,135,--
Inox Leisure,4.1,1k,3.9k,49,--,153,1
ISS Facility Services,4.2,1k,3.8k,39,40,136,--
Biocon Limited,3.9,1.1k,11k,115,22,14,--
ZF Commercial Vehicle Control Systems,4.0,1k,2.7k,31,--,22,--
Akzo Nobel India,4.2,1k,3.8k,48,17,141,5
Adani Group,4.0,1.2k,7.7k,137,143,110,3
TTEC India,3.8,1.1k,4.1k,105,10,160,24
J. Kumar Infraprojects,4.1,1k,4.4k,54,--,121,2
Fabindia,4.0,1k,4.1k,42,8,126,3
Barclays Shared Services,4.1,995,6.2k,25,17,193,--
Collabera Technologies,3.5,1.1k,7.8k,115,14,113,--
ICICI Home Finance,3.8,1.1k,4.2k,58,2,91,1
Daimler India Commercial Vehicles,4.2,1k,6.3k,51,--,186,--
Cushman & Wakefield,4.3,1k,5.2k,59,62,139,--
Gland Pharma,3.7,1.1k,5.9k,63,3,136,--
VLCC,3.7,1k,3.3k,31,15,101,--
Redcliffe Labs,4.5,1.1k,1.3k,37,11,60,33
Chandigarh University,4.5,1.1k,2.3k,55,36,109,6
Supreme Industries,4.2,1k,4.9k,59,--,121,3
Panasonic,4.1,1k,5.3k,40,--,150,--
Lavender Technology,5.0,1.1k,5,3,--,75,--
Asahi India Glass,3.9,996,4.5k,55,4,141,2
Ashoka Buildcon,4.1,993,3.8k,47,2,129,6
ITD Cementation India,4.3,976,3.7k,47,8,144,4
JioMart,3.9,1.1k,3.6k,81,--,78,6
Jindal X,3.5,1.1k,2.8k,86,23,166,1
TCS iON,4.0,1.1k,4.7k,249,1,188,1
Annapurna Finance,4.2,1k,3.1k,48,14,128,1
Sysnet Global Technologies,3.7,999,3.6k,55,3,86,--
NeoSOFT,4.0,1.3k,8.6k,158,59,159,6
Aye Finance,4.2,1.1k,2.8k,49,59,121,6
Godrej Group,4.0,1k,2.8k,99,1,165,3
Shadowfax Technologies,3.7,1.1k,5.1k,86,38,84,14
Granules India,3.9,1k,5k,53,5,172,--
Ocwen Financial Solutions,4.2,979,5.4k,43,8,173,--
Heritage Foods,4.1,1k,3.4k,66,28,144,--
GMR Group,4.1,1k,4.3k,59,--,188,--
Aptara,3.3,985,5.9k,57,18,118,4
Sanofi,4.4,1k,3.9k,56,179,155,--
HighRadius,3.0,1.1k,6.6k,136,33,98,13
GE,4.3,1k,8.4k,83,12,214,--
Compass Group Support Services,4.1,1k,4.6k,45,25,148,11
Adani Ports and SEZ,3.9,988,4.6k,57,--,144,4
MiraMed Ajuba,4.0,1k,4.3k,50,--,154,--
EPAM Systems,3.8,1.1k,12.7k,292,42,147,16
Bharat Forge,3.9,961,5.6k,45,2,123,--
Canara Bank,3.5,1k,3.3k,47,--,99,2
Spicejet,3.5,1k,5.1k,82,7,159,4
Spinny,3.9,1.1k,5.1k,133,100,109,--
Bharat FIH,4.0,1k,3.3k,60,--,58,--
Caterpillar Inc,4.2,1k,8.2k,125,49,145,7
Broadridge Financial Solutions,4.0,1k,9.8k,90,93,144,4
Unisys,3.8,974,9.9k,50,--,157,--
Evalueserve,3.4,1k,9.7k,76,36,145,2
AB InBev India,3.5,1k,6.7k,68,15,163,2
GE Vernova,4.2,1k,4.4k,64,--,9,1
NSE.IT,3.6,998,5.8k,100,10,122,--
Sharekhan,4.0,970,4.8k,57,33,119,--
Steel Strips Wheels,3.8,957,5.1k,56,7,132,6
Xiaomi,3.9,1k,5.3k,74,5,136,8
Edelweiss,3.8,982,7.6k,54,1,133,--
Vfs Global Services,3.7,969,3.9k,45,3,125,--
Lumax Industries,4.0,989,5.3k,57,3,133,2
Amity University,3.6,992,4.7k,79,1,127,--
Sagility,3.9,1.1k,5.1k,94,43,47,81
IFB,3.7,1k,4.7k,75,1,67,--
Pine Labs,3.7,1k,5.6k,68,17,120,1
Unichem Laboratories,3.9,979,4.8k,75,23,136,--
Bisleri,4.2,980,3.6k,66,25,152,5
NEC,4.6,1k,3.8k,41,13,137,55
Indoco Remedies,3.7,983,5.1k,56,3,118,--
Cinépolis,4.1,970,2.8k,41,6,154,--
Physicswallah,3.8,1.1k,3.5k,123,111,28,6
Newgen Software Technologies,3.6,1k,10.1k,133,26,167,8
CorroHealth,3.4,1k,4.4k,99,9,15,8
Tanishq,4.5,1k,2.6k,51,1,69,4
Synchrony,4.4,977,5.1k,51,19,205,23
Aircel,4.5,859,1.7k,6,--,154,--
Iffco Tokio General Insurance Co.,4.1,947,3.8k,32,2,118,5
Punjab National Bank,4.1,940,2.7k,32,--,98,2
Jakson Group,4.4,952,3.2k,61,6,106,2
Iksula,3.8,866,3.4k,25,10,113,5
Fino Payments Bank,4.0,957,3.7k,42,16,98,1
Northern Trust Operating Services,4.1,956,7.9k,85,71,226,--
LivSpace,3.5,1k,6.6k,101,112,107,3
SYSKA LED Lights,2.9,945,2.5k,53,--,85,--
Saipem,4.1,920,3.1k,39,2,154,19
ECIL,4.1,907,3.5k,38,2,110,2
Devyani International,3.9,953,3.1k,35,48,127,10
Valeo,4.1,968,7.1k,72,164,141,3
Aditya Birla Health Insurance Co,3.9,1k,5.3k,62,4,92,--
FDC,4.1,937,3.3k,41,1,94,5
Paytm Payments Bank,4.0,1k,5.9k,114,8,120,--
Tietoevry,4.3,966,9k,63,43,128,17
BVG India,4.0,918,3.4k,36,14,100,6
Health Care Global Enterprises,4.2,934,2.4k,43,34,30,3
Best Sellers,4.2,916,2.9k,23,2,134,2
Goldman Sachs,3.7,1k,15.4k,319,--,114,1
Suryoday Small Finance Bank,4.1,957,3.9k,58,19,88,--
VMware Software,4.5,986,10.2k,127,57,142,--
Sheenlac Paints,4.6,1.1k,1.4k,134,10,57,120
Burger King,4.0,946,3.2k,58,6,137,4
DISH TV,3.6,906,3.3k,43,6,101,1
AGS Transact Technologies,3.5,915,4.1k,24,10,131,1
SKF,4.0,893,4.2k,50,15,158,3
Foxconn,4.1,969,8k,97,2,212,1
Oil And Natural Gas Corporation,4.3,917,3.3k,58,--,146,2
Fidelity National Financial,3.8,919,6k,44,7,161,7
Wheelseye Technology,3.7,962,3.1k,67,33,104,6
DENSO,4.2,902,3.6k,55,--,192,6
Sansera Engineering,4.2,910,4.3k,53,11,116,2
Xyz Company,3.8,1.1k,28.1k,274,2,76,--
Apco Infratech,3.9,906,3.7k,87,5,112,7
ManpowerGroup,3.9,911,4.7k,37,99,81,11
SAI Life Sciences,3.9,954,4.9k,67,18,134,9
Tata 1mg,3.7,962,5k,108,37,107,21
Clover Infotech,3.7,936,9.9k,76,57,99,35
Shriram Pistons & Rings,4.1,880,4.3k,50,--,142,1
ANZ Banking Group,4.2,892,7.4k,71,27,116,--
QualityKiosk Technologies,3.7,935,9.3k,105,146,108,--
Dixon Technologies,4.2,910,4.5k,81,7,122,1
Gujarat Fluorochemicals,4.1,907,5k,58,--,150,3
Schindler,4.0,948,4.1k,57,13,122,--
Fresenius Kabi,4.2,888,4.2k,33,12,124,--
Atul,4.0,882,4.7k,65,4,120,--
Nexa,4.1,823,2.8k,26,--,77,--
Vibgyor High School,3.8,913,3.9k,52,137,111,--
The Jaypee Group,3.9,835,3.4k,36,1,115,1
K12 Techno Services,3.0,965,4.2k,102,98,67,1
Vestas,4.3,898,4.8k,64,1,144,6
Amneal Pharmaceuticals,4.3,882,5k,51,34,147,2
Hitachi Astemo,4.1,951,4.2k,82,2,136,2
EOSGlobe,3.1,921,3.3k,62,14,92,--
Altisource,3.6,861,4.9k,35,44,144,9
FOCUS EDUMATICS,3.4,936,2.4k,106,--,46,19
Amara Raja Energy & Mobility,4.3,954,3.6k,49,81,121,--
iSON Xperiences,3.6,914,3.2k,54,15,95,2
Tata AutoComp Systems,3.9,902,5.2k,65,16,108,1
Luminous Power Technologies,4.1,881,3.3k,54,33,126,--
Wistron,3.9,947,5.2k,74,2,150,2
Indegene,3.6,929,7.7k,124,36,130,16
CreditAccess Grameen,4.3,906,2.3k,29,5,71,7
TELUS International Philippines,3.8,933,7.1k,66,84,44,--
Infogain,3.6,911,10.1k,85,84,142,4
Patanjali Foods,4.0,866,2.9k,40,--,109,--
GAIL,4.5,847,3.1k,67,--,93,2
Medhaj Techno Concept,4.2,876,2k,43,7,168,78
Tenneco,3.8,863,4.5k,49,1,126,--
Jio Platforms,3.6,987,7.3k,134,2,70,--
IndiaFirst Life Insurance,4.1,924,3.5k,46,1,104,--
Infinx,3.6,915,4k,75,29,78,--
Videocon d2h,3.9,767,1.4k,21,--,105,--
Kantar,3.6,922,5.9k,82,--,82,--
Johnson Lifts,4.0,852,3.4k,28,3,95,1
Continental Automotive Components,4.2,899,8.3k,53,10,142,3
CSB Bank,3.4,929,5k,58,9,46,--
Eaton Corporation,4.0,891,6.8k,89,70,133,10
AIIMS,4.2,846,4.2k,41,--,68,13
Consolidated Contractors,4.5,794,1.4k,27,--,170,--
Wind World,4.0,850,3.3k,62,6,122,--
Bajaj Motors,3.9,824,3.3k,41,--,120,--
PharmEasy,3.7,906,4.6k,68,22,96,13
Piaggio,3.7,831,3.8k,45,5,129,3
Godrej Properties,3.7,921,5.8k,63,16,112,1
Mahindra CIE Automotive,3.8,845,3.8k,54,88,92,--
Bharat Sanchar Nigam,4.0,835,2.6k,29,--,104,--
TE Connectivity,4.1,880,5.9k,52,29,160,--
PNB Housing Finance,3.9,870,3.9k,35,7,90,--
Intertek,3.8,848,3.6k,36,22,116,2
Jaquar,4.1,880,4.2k,44,--,123,--
Zf Rane Automotive,4.1,830,3.7k,44,--,139,1
JW Marriott,4.1,804,2.2k,31,--,160,--
TUV SUD,4.0,845,3.5k,46,25,98,2
Automotive Manufacturers,4.2,841,5.7k,70,50,79,2
Godrej Consumer Products,4.2,839,4.1k,37,--,126,4
Gannon Dunkerley & Co.,3.9,762,2.2k,28,--,118,1
IIFL SAMASTA,4.1,894,2.3k,44,7,22,7
Mondelez International,4.4,862,4k,44,40,135,9
Capri Global Capital,3.7,893,3.2k,41,46,39,10
Worley,4.1,881,5.8k,83,117,128,--
JSW Cement,4.1,866,3.6k,79,--,110,12
Sahara India Pariwar,3.8,839,2.6k,23,--,107,5
Apexon,3.4,879,7.7k,80,158,27,1
Adobe,4.2,885,10.5k,185,12,176,1
Slk Software Services,3.5,865,8.5k,66,69,99,--
Spencer's Retail,3.9,836,2.9k,36,4,100,--
Karma Ayurveda,4.5,879,388,4,--,33,--
Punj Lloyd,4.4,745,1.9k,16,--,141,--
Dhoot Transmission,3.7,819,3.8k,46,--,116,1
Sonata Software,3.7,856,10.5k,87,40,89,--
Petrofac,4.4,795,2.7k,36,7,116,5
Morningstar,3.9,904,7.2k,197,106,126,3
Siemens Gamesa Renewable Power Private Limited,4.1,816,4.8k,41,62,106,1
R Systems International,3.4,864,7k,86,33,118,5
Hinduja Leyland Finance,4.1,895,2.4k,22,2,73,--
GAO Tek,4.5,1k,150,55,100,49,--
Hatsun Agro Product,4.0,839,4.1k,57,15,108,1
Shriram Life Insurance,3.8,834,3.4k,48,12,83,1
Urban Company,3.6,889,4.5k,88,63,112,11
Coca-Cola Company,4.3,814,2.9k,76,--,104,1
Tikona Infinet,3.7,775,3k,24,--,90,--
NSH,3.6,778,2k,22,--,108,--
Viraj Profiles,3.9,800,4k,61,2,156,--
Serco,4.4,781,1.5k,28,--,142,1
Nielsen,3.8,821,5.3k,69,--,132,6
HPCL-Mittal Energy Limited,4.3,802,4.2k,29,--,121,14
Episource,3.9,853,3.7k,201,2,84,2
Decathlon,4.0,854,3.5k,69,2,117,2
Thyrocare Technologies,3.6,847,4.1k,57,10,96,1
Podar International School,4.3,833,2.7k,53,--,121,8
Amazon Logistics,4.3,872,3.3k,63,--,87,5
RBL FinServe,4.1,845,2.7k,39,--,83,1
iQor Global Services,3.5,770,2.5k,18,14,115,6
Atos Global IT Solutions And Services,4.0,835,7.9k,69,43,107,10
Airtel Payments Bank,4.2,864,3.9k,57,12,116,2
OpenText Technologies,3.8,856,9.4k,105,39,110,3
Strides Pharma,3.9,802,3.9k,50,4,150,--
Arvind Lifestyle Brands,4.1,768,2.1k,9,--,3,--
Bajaj Housing Finance,3.8,855,4.8k,44,25,62,2
JK Lakshmi Cement,3.9,799,3.3k,46,--,100,1
Kirloskar Oil Engines,4.2,818,3.5k,39,3,107,1
Mando Automotive,3.9,788,4.6k,41,--,129,1
Sunknowledge Services,3.9,869,2.6k,46,5,230,--
iMerit,3.8,859,4k,74,23,104,--
MDIndia Health Insurance TPA,3.9,817,3.3k,48,8,89,3
PNC Infratech,4.0,794,3.1k,46,7,81,2
Sri Chaitanya Educational Institutions,3.9,777,2.9k,30,2,70,--
FastInfo,4.3,849,666,22,1,358,2
Shubham Housing Development Finance,4.0,816,2.7k,26,6,75,1
Altimetrik,3.8,868,8.6k,138,31,122,10
V5 Global Services,3.9,840,2.8k,48,42,76,2
Kendriya Vidyalaya Sangathan,4.4,760,1.6k,69,--,63,1
Parexel International,4.0,811,5.3k,62,6,130,4
Ion Exchange India,3.9,803,4.1k,45,19,91,3
Onward Technologies Inc,3.2,788,5.5k,55,58,47,16
BGR Energy Systems,3.9,781,3.9k,39,--,124,--
Jubilant Pharmova,4.0,775,3.9k,52,39,117,5
Barbeque Nation,4.0,782,2.5k,27,6,121,9
Aarvee Associates,4.0,774,3k,59,6,105,2
NTT DATA Business Solutions,3.8,869,8.7k,56,--,18,--
DCM Shriram,4.3,807,4k,63,26,128,--
Volkswagen,4.2,726,3.3k,30,1,104,15
Novo Nordisk,4.1,812,5k,67,141,137,10
Muthoot Microfin,4.5,819,2k,23,11,68,15
Rockman Industries,3.9,779,3.5k,66,12,104,2
ReNew,4.3,839,4.2k,60,66,100,3
Intel,4.3,828,7.9k,159,320,102,8
Jacobs Engineering Group,4.1,805,4.6k,53,10,98,1
The Ramco Cements,4.3,797,3.2k,38,--,101,--
XcelServ Solutions,4.6,813,484,7,--,28,--
Edelweiss Tokio Life Insurance,3.8,791,3.6k,33,3,94,1
Softenger,4.3,799,2.4k,37,3,169,12
Chetu,3.3,839,7.4k,134,8,122,23
Evision Technoserve,4.7,809,221,15,--,41,--
Nippon Paint India,4.1,814,3.5k,42,5,89,2
Medplus(optival Health Solutions),3.6,814,3.2k,57,22,61,1
OM Logistics,4.1,766,3k,47,13,103,1
Aerial Telecom Solutions,4.5,792,1.8k,32,47,35,1
Lemon Tree Hotels,4.2,740,2.6k,34,--,143,--
Power Grid Corporation of India,4.4,777,2k,53,--,83,4
Pristyn Care,3.7,848,3.6k,56,44,173,--
1point1 Solutions,3.4,791,3k,60,58,90,2
Vertex Customer Solutions,3.6,669,1.6k,9,1,89,1
Vistaar Finance,4.2,762,2k,22,1,137,3
Provana,3.7,819,3.1k,50,5,271,4
Hyundai Mobis,3.9,789,4.5k,49,1,143,--
V2 Retail,3.6,754,2.2k,45,11,90,11
Ceasefire Industries,3.3,767,2.6k,75,9,77,--
Capacit'e Infraprojects,3.6,700,3.2k,46,6,67,--
TechnipFMC,4.0,754,5.1k,57,--,112,--
Unicharm,4.2,748,2.4k,43,4,113,--
Brillio,3.5,801,8.8k,92,53,85,5
ThyssenKrupp Industries India,4.2,751,4.3k,48,--,93,2
Nykaa,3.5,810,5k,76,25,61,3
Kotak Mahindra Prime,4.0,779,3.9k,41,--,69,--
GEP Worldwide,3.8,829,7.2k,90,6,134,10
Hindustan Zinc,3.9,761,4.2k,40,--,107,--
Qualcomm,4.0,804,10.8k,204,602,153,1
Happiest Minds Technologies,3.9,794,9.3k,85,8,96,9
More Supermarket,3.8,800,3.1k,54,--,59,--
TEKsystems,3.5,785,8.5k,75,26,86,2
CarDekho,3.7,785,4.4k,55,136,113,20
ZF Steering Gear,3.8,758,5.5k,30,8,104,1
