company name,rating,reviews,salaries,interviews,job,benifits,photo
Dana Anand,4.2,747,2.8k,35,--,132,--
Hathway,3.7,728,3.5k,36,1,79,--
CenturyPly,4.0,743,3.4k,46,5,56,6
Colliers International,4.0,751,4.1k,46,16,81,--
Intex Technologies,3.7,689,1.7k,13,--,100,--
Acuity Knowledge Partners,3.5,800,8k,100,100,87,14
Stanza Living,3.1,796,3.2k,69,62,62,16
Karur Vysya Bank,3.7,769,3.6k,42,47,61,--
Tube Investments of India,4.0,731,2.9k,32,23,60,5
Reliance AJIO,3.8,792,2.6k,58,--,103,--
United Alliance Technology,4.9,777,32,5,--,99,--
TK Elevator,4.1,710,3.5k,39,1,102,--
Aditya Birla Finance,3.9,789,4.5k,30,4,53,4
TradeIndia (Infocom Network Private Limited),3.5,747,4.4k,58,59,59,28
Pizza Hut,4.0,737,2.1k,36,--,85,11
Bosch Chassis Systems,4.2,710,2.7k,30,--,120,--
Feedback Infrastructure Services,3.5,727,3k,34,--,92,--
Apotex Research,4.2,707,2.6k,20,4,113,--
Imperial Auto Industries,3.8,734,4.1k,45,4,70,6
Rashmi Metaliks,3.6,758,3.6k,53,15,70,5
Spandana Sphoorty Financial,3.7,744,2.1k,30,16,80,2
Secure Meters,4.1,734,4k,52,53,108,8
Syngenta,4.3,758,3.2k,47,51,92,5
Kirloskar Brothers,4.1,752,3.9k,51,--,103,11
Diageo,4.0,754,5.4k,51,27,109,2
Colgate Palmolive,4.2,740,3.8k,53,1,123,--
Sundaram Finance,4.2,734,2.8k,27,24,89,7
Fidelity Investments,4.3,800,8k,62,2,174,--
Genius Consultants,3.9,748,3.6k,38,10,77,--
H.G. Infra Engineering,4.4,755,2.4k,60,--,93,--
Ahluwalia Contracts India,4.1,726,2.8k,33,6,73,2
Kinara Capital,4.5,803,1.8k,54,41,156,39
Pricol,4.0,719,4k,34,6,97,15
Dassault Systemes,4.0,772,6k,111,1,148,5
PayPal,3.9,804,7.4k,155,59,126,6
Orchids International School,3.1,769,3.2k,79,5,55,--
Nilkamal,3.9,724,3.2k,39,6,87,--
Tata Chemicals,4.2,685,2.7k,50,25,140,8
Sundaram Clayton,4.1,712,2.9k,19,1,97,--
Shalby Hospitals,4.6,773,1.9k,26,39,55,1
CALIBEHR,4.0,750,2.5k,50,5,62,--
VIP Industries,4.0,721,3k,28,6,92,2
Incedo,3.4,772,7.8k,114,34,120,17
FLSmidth,3.7,735,4.4k,29,29,115,1
JTEKT,4.2,742,3.7k,49,--,99,--
Gmmco,4.2,709,2.5k,28,3,116,1
Visionet Systems,3.2,742,5.2k,50,28,93,--
Fusion Microfinance,4.1,746,2.3k,31,21,76,2
eClinicalWorks,3.9,743,4.9k,44,13,172,1
Mahindra First Choice Wheels,3.8,713,3.2k,32,6,78,--
Air India,4.0,738,3.5k,81,22,124,--
Egis  India Consulting Engineers,4.2,705,2.5k,44,--,104,--
SLK Global Services,3.9,701,3.4k,25,1,102,--
AstraZeneca,4.2,713,6k,32,3,168,--
Perfetti Van Melle,4.4,702,2.4k,21,9,99,2
Nirma,4.3,670,3k,34,1,126,1
MakeMyTrip,3.7,730,6.3k,80,74,100,11
KIMS Hospital,4.1,713,2.8k,24,--,79,--
Next Education India,3.8,712,3.1k,35,6,126,--
VeeTechnologies,3.9,732,4.2k,57,95,81,--
Pacific BPO,3.6,746,3.7k,50,25,75,6
LOREAL,4.1,718,3.5k,50,28,107,1
Caratlane Trading,4.3,758,2k,41,9,91,25
Hikal,4.0,708,4k,51,27,90,--
MAHLE ANAND Filter Systems,4.2,705,3.1k,26,--,121,--
Teva Pharmaceuticals,4.2,721,4k,51,14,138,--
INDO-MIM,4.3,686,3.6k,38,4,122,--
Capital Numbers Infotech,4.7,739,932,24,1,103,131
Birla Corporation,4.2,715,3.2k,47,--,87,2
HFCL,4.2,708,3.4k,43,--,89,2
Vedanta Aluminium,3.9,726,4k,37,--,118,2
Fluor Corporation,4.3,638,2k,18,--,12,--
Prodapt,3.8,737,7.1k,71,30,82,11
C&S Electric,4.0,691,3.5k,35,12,96,13
Webhelp,3.8,743,4.6k,54,--,98,3
SitusAMC,3.3,736,4.2k,55,28,47,--
ICICI Prudential Mutual Fund,3.8,719,4.6k,49,--,87,--
CADD Centre Training Services,4.1,637,2.5k,23,13,95,--
Zoho,4.3,765,6.9k,281,1,130,22
Pernod Ricard,3.9,709,3.9k,36,--,117,6
Metropolis Healthcare,4.1,686,3k,38,25,73,1
Future Focus Infotech,3.6,680,4.6k,40,--,50,--
Patra Corporation,3.8,719,3.6k,55,9,83,--
Uber,4.2,716,7k,107,--,106,12
Troikaa Pharmaceuticals,3.8,688,3k,47,40,85,--
Mu Sigma,2.8,764,6.6k,154,1,124,11
Better.com,3.0,723,4k,44,19,123,--
Air India Sats Airport Services,3.8,684,2k,44,--,69,--
Orion Edutech,3.3,659,2k,17,--,78,--
Ford Business Solutions,4.5,713,3.3k,37,61,32,--
SBFC Finance,3.8,736,2.4k,41,47,52,5
TNQ Technologies,3.6,689,3.5k,44,5,82,--
Skill Lync,3.1,726,3.5k,83,24,32,4
Thomas Cook,3.9,663,4k,31,--,92,--
Otis Elevator,4.0,677,3.4k,37,123,91,3
Wheels,4.1,675,4.6k,44,2,84,--
Neel Metal Products,4.1,648,2.8k,31,--,72,4
Amara Raja Group,4.2,704,3.1k,57,2,109,--
C.R.I. Pumps,3.9,639,2.8k,21,24,79,2
Indira IVF Hospital,4.0,684,2.4k,35,47,79,1
Centre for Development of Advanced Computing,3.9,700,5k,66,--,63,--
GVPR Engineers,4.0,677,2.6k,48,5,146,--
Schaeffler India,4.2,677,4.3k,35,--,116,7
Yashoda Hospitals,3.9,652,3.2k,31,35,85,--
Quest Retail Private Limited,4.5,698,777,9,1,248,61
Federal Bank,3.9,687,4.2k,104,--,74,--
Test Yantra Software Solutions,3.4,725,19.8k,92,9,138,--
Toppr,3.4,672,4.2k,69,50,98,12
Leadec India,4.0,666,3.2k,50,11,91,13
Willis Towers Watson,3.9,682,6.2k,65,23,102,--
Pramerica Life Insurance,4.0,666,2.6k,23,81,71,--
Vertiv,4.0,657,3.1k,38,64,12,4
Bank of India,4.0,667,2.6k,40,1,92,11
Aarvi Encon,4.1,666,2.5k,47,4,68,3
Aviva Life Insurance India,3.6,659,2.5k,22,5,63,--
Huhtamaki,3.9,652,2.7k,16,17,89,--
Alok Industries,3.8,644,2.9k,33,2,84,--
Meril,3.9,677,3.5k,39,38,76,19
Shriram General Insurance,3.7,659,2.8k,27,4,54,--
Suzuki Motorcycle,4.1,657,3.6k,26,1,93,1
Gharda Chemicals,4.2,653,3.7k,37,6,110,--
Everest Industries,4.1,651,2.8k,32,13,90,2
Grant Thornton,3.7,674,8.5k,81,76,87,--
Napino Auto & Electronics,4.1,659,3.5k,39,5,81,2
Centum Electronics,3.9,645,3.7k,18,8,113,--
Dunzo,3.5,703,3.3k,65,7,28,5
DLF,4.0,664,3.5k,62,10,72,5
Digit Insurance,4.0,713,3.5k,59,26,105,16
Marks & Spencer,4.0,672,2.7k,25,14,122,--
Lakshmi Machine Works,4.0,661,3.6k,41,--,69,3
Godrej Agrovet,4.1,654,2.9k,36,--,81,2
Zydus Wellness,3.9,705,2.2k,45,9,77,8
Aspire Systems,4.0,693,8.1k,78,37,92,15
Columbia Asia,4.4,590,2k,18,--,101,--
THE LEELA PALACES HOTELS & RESORTS,4.0,627,2.3k,24,1,109,--
Rupeek,3.7,695,3.1k,46,28,55,--
Westside,4.2,667,1.8k,28,--,78,2
Aparna Constructions and Estates,4.1,668,3k,72,42,96,22
HT Media,3.4,650,4.6k,38,42,89,6
Sykes Business Services Of India,3.4,668,2.8k,51,14,221,33
Sandhar Technologies,3.9,645,3.2k,39,19,79,2
Parekh Integrated Services,4.1,639,2.6k,27,10,94,--
Bechtel,4.1,632,2.8k,53,3,93,2
Allianz Technology,4.3,702,5.9k,53,--,122,6
Kohler,3.9,676,3.9k,35,43,83,9
Duck Creek Technologies,4.5,676,1.1k,8,18,414,--
Star Cement,4.1,644,2.7k,54,3,91,--
Greaves Cotton,4.1,633,2.7k,18,4,98,--
Vedanta Resources,3.9,667,5.1k,81,--,101,--
Knorr-Bremse,4.1,652,3.7k,42,12,124,--
Natco Pharma,4.1,642,3.1k,38,10,89,1
KEI Industries,4.2,627,2.9k,42,--,90,--
Timken,3.9,648,3.7k,34,3,110,8
Panacea Biotec,3.9,619,2.5k,48,5,101,--
ffreedom app,3.6,683,1.3k,54,20,3,12
Godfrey Phillips India,4.1,630,2.8k,27,--,106,--
Samsung Engineering,4.2,610,2.3k,46,--,119,1
National Health Mission,3.7,609,2.1k,23,--,54,1
United Breweries,3.9,637,3.1k,30,1,97,--
Varroc Polymers,3.9,635,2.9k,36,--,85,--
Medha Servo Drives,4.3,631,2.5k,56,1,111,--
SHYAM METALICS AND ENERGY,3.7,675,2.9k,64,9,49,1
Asirvad Microfinance,4.0,672,1.8k,21,--,60,3
Franklin Templeton Investments,4.2,623,4.4k,19,78,82,4
NielsenIQ,3.9,721,4.6k,106,14,63,5
Samsung Research,3.4,710,6.8k,76,3,165,--
Atlas Copco,4.3,637,4.1k,60,42,103,--
Page Industries,4.2,649,3.1k,32,--,83,2
Defence Research & Development Organisation,4.5,634,3.3k,46,--,90,--
LEAD School,3.3,696,2.9k,78,22,78,2
Astral Pipe,4.3,668,2.7k,49,20,34,2
Greenko Group,3.9,620,3.1k,36,3,101,2
ValueMomentum,3.3,671,7.5k,59,33,59,20
Infra.Market,4.2,691,2.1k,38,33,43,14
Tata Consumer Products,3.9,664,3.4k,48,13,67,3
Piramal Pharma,4.0,700,3.9k,69,278,105,3
Indusind Marketing & Financial Services,4.0,630,1.9k,21,--,60,--
T-SYSTEMS ICT INDIA,3.9,693,6.5k,62,28,97,2
Bayer Crop Science Vegetable Seeds,4.4,603,569,21,1,7,--
Precision Techserve,3.8,636,3.1k,32,2,28,--
Qinecsa Solutions,2.9,650,3.1k,51,22,2,--
NetAmbit,3.4,645,2.6k,59,35,36,5
Aristo Pharmaceuticals,4.1,620,2.2k,27,--,65,--
Adani Green Energy,4.2,669,3.6k,64,1,82,2
Kalpataru Group,3.9,652,3.7k,37,13,83,1
SFO Technologies,3.6,626,4k,25,--,66,3
Future Supply Chain Solutions,4.4,593,2.9k,21,--,92,1
Rebel Foods,3.8,674,2.9k,48,27,65,1
Financial Software & Systems,3.8,620,5.2k,44,6,63,1
Acme Cleantech Solutions,4.0,546,2.4k,44,8,98,1
Northern Trust,3.8,693,6k,62,2,9,15
Salesforce,4.1,687,8.4k,196,149,119,18
Galfar,4.1,592,1.8k,24,--,86,--
Cult.fit,3.8,691,3.6k,56,96,90,10
Innova Solutions,3.7,676,5.6k,60,95,27,1
Lumina Datamatics,3.5,635,4.1k,44,11,53,1
Mswipe Technologies,3.2,621,2.8k,27,19,56,3
Velocis Systems,3.9,618,4.7k,47,10,56,--
AtkinsRealis,4.2,584,1.5k,26,143,94,--
Michelin,3.9,637,4.2k,43,41,114,--
Snapdeal,4.0,588,3k,70,14,124,12
Prochant,4.4,692,1.5k,32,46,113,24
Citco,3.1,676,5.5k,94,6,57,--
Fareportal,3.3,642,3.9k,21,26,111,--
General Mills,4.2,636,4.2k,54,--,126,--
City Union Bank,3.4,672,4.2k,59,--,61,6
Lowe's,4.2,670,7.4k,84,2,137,2
CNH,4.2,654,3.4k,41,--,91,24
NBC Bearings,3.9,642,2.8k,63,2,51,5
Nityo Infotech,3.1,630,4.8k,37,204,48,--
Quess IT Staffing Solutions,3.5,588,2k,28,33,9,--
J B Chemicals And Pharmaceuticals,3.9,631,2.6k,38,2,86,--
Athena BPO,3.3,626,2.5k,41,4,64,4
NetCracker,3.0,651,7.9k,87,1,95,12
Netscribes,2.9,644,3k,66,26,74,10
Royal Sundaram General Insurance,4.0,624,2.6k,19,1,65,6
Bayer,4.2,618,3.9k,40,--,133,--
ICCS,3.3,632,2.5k,46,38,50,21
Sanden Vikas,4.0,604,2.8k,36,--,78,1
Karvy Stock Broking,3.6,579,2.8k,7,3,74,--
Musashi Auto Parts,4.0,573,2.7k,20,--,76,--
GAMMON INDIA,3.8,530,1.4k,28,--,74,--
Aparajitha Corporate Services,4.0,603,2.5k,21,1,60,--
DuPont,4.1,584,3.3k,34,--,92,1
Hitachi Payment Services,3.8,617,2.7k,28,--,64,--
Shilpa Medicare,3.6,612,3.7k,46,1,55,9
Sandvik Asia,4.3,563,1.9k,28,--,99,11
Collins Aerospace,4.1,635,6.2k,51,26,111,5
Border Security Force,4.5,587,1.3k,12,--,85,--
OCS Group,4.0,581,2.4k,22,2,57,--
Jabil Circuit India,4.0,622,3.1k,36,23,78,2
Artech Infosystems,3.6,614,3.9k,47,86,76,1
Tata Electronics,4.0,689,3.7k,100,--,70,1
Temenos,3.3,642,7.6k,55,10,60,12
Signify,3.6,612,3.8k,39,1,84,2
Knight Frank,4.2,602,2.9k,38,7,80,--
Merino Industries,3.9,603,2.9k,44,9,77,20
Medusind Solutions,3.9,617,2.9k,24,29,103,--
OLX,3.8,612,3.7k,50,26,116,--
Schlumberger,4.1,608,4.8k,107,1,126,13
Genpact Headstrong Capital Markets,3.8,607,6k,83,--,--,--
Navayuga Engineering Company,4.1,565,2.2k,33,10,90,1
Zepto,3.7,672,2.8k,61,138,34,--
Tata Starbucks,4.3,602,1.7k,32,169,113,7
DAV Public School,4.1,574,1.4k,22,--,83,2
ESL Steel,4.1,565,2.4k,27,--,97,--
Micromax Informatics,3.7,533,1.6k,20,--,97,--
HomeLane,3.5,631,3.6k,68,23,70,6
Adani Enterprises,3.8,616,3.7k,58,4,84,--
Mastek,3.7,634,5.9k,83,20,49,--
Porter,4.2,635,2.3k,60,28,58,5
Arohan Financial Services,4.1,603,2k,22,14,61,4
Xebia,3.5,635,4.2k,53,36,239,35
Ageas Federal Life Insurance,3.7,586,2.1k,34,26,70,3
Quantiphi Analytics Solutions Private Limited,3.1,650,5.5k,122,57,65,--
Volvo,4.1,579,4.7k,41,10,97,4
The Akshaya Patra Foundation,4.6,712,1.9k,31,12,65,48
Reliance Power,4.2,660,3.2k,36,2,70,3
Eveready Industries,4.0,560,2.3k,29,--,87,1
AuthBridge Research Services,3.8,623,3k,36,26,65,7
Rungta Mines,4.2,619,3.1k,63,--,60,--
Guardian India,4.1,611,3.9k,47,10,98,10
BNP Paribas India Solutions,4.0,606,6.8k,49,--,116,--
GlaxoSmithKline Consumer Healthcare,4.5,549,2.1k,22,--,86,--
RAMTeCH Software Solutions,3.9,574,2.9k,27,6,59,--
Amul Dairy,4.2,588,1.8k,47,--,39,1
TÜV NORD,3.8,588,3.4k,55,--,67,--
Globant,4.0,642,7k,116,43,105,--
CRB Tech Solution,4.1,600,548,11,--,41,--
Dhani Services,3.5,552,2k,17,22,8,--
Svatantra Microfin,4.2,614,1.6k,23,14,76,4
Prism Johnson,4.0,607,3.7k,37,--,66,3
First Advantage,3.9,584,6.3k,19,21,61,5
Amphenol Interconnect,4.2,577,3k,25,4,80,1
Kutumbh Care,3.9,571,1.7k,33,--,57,2
Kurlon,4.3,559,2.3k,31,--,91,--
IMPACT Infotech,3.6,577,2.5k,29,--,81,--
Bridge & Roof Co,3.6,526,2.9k,23,--,101,--
Salcomp Manufacturing,4.2,597,3.2k,48,--,77,--
Veradigm,4.1,579,3.8k,37,56,6,--
GirnarSoft,3.6,576,3.8k,29,28,100,--
Steag Energy Services,4.2,549,2.8k,25,16,100,--
NoBrokerHOOD,3.4,612,1.7k,43,60,217,2
ICA Edu Skills,3.8,542,1.6k,27,22,62,--
GE Healthcare,4.2,611,5.2k,58,3,105,4
Deccan Fine Chemicals,3.7,599,3.7k,52,2,68,--
ACL Digital,3.6,597,5.7k,60,27,47,--
Jaya Hind Industries,3.8,553,2.4k,41,--,64,--
Deepak Fertilisers and Petrochemicals,3.9,583,3k,27,14,83,14
Edubridge Learning,4.1,674,1.3k,30,5,180,11
Bitwise Solutions,4.2,598,4.2k,34,9,134,--
McDermott International,4.2,560,3.6k,41,92,79,--
Carnival Cruise Lines,4.5,562,805,11,--,79,2
Transsion,4.2,540,2.8k,28,5,74,4
Indium Software,4.2,667,4.8k,85,171,67,6
Bpo Convergence,3.6,588,1.8k,42,--,36,4
Ashirvad Pipes,4.1,581,2.5k,40,16,93,1
Advik Hi Tech,3.8,552,2.8k,33,2,69,8
Medlife,3.7,528,3.3k,26,1,61,6
Tata Hitachi Construction Machinery,4.1,571,2.8k,44,--,84,--
Embibe,3.7,620,2.7k,54,18,97,39
Simplilearn,3.2,599,4.4k,78,135,53,8
Union Bank of India,4.1,585,2.6k,24,--,72,6
Fractal Analytics,4.1,610,6.4k,131,8,108,14
Silaris Informations,3.2,585,2.4k,36,3,54,1
TCNS Clothing Company,4.1,573,1.8k,13,8,64,--
Swaraj Tractors,4.2,569,4.2k,30,--,120,8
Comviva Technology,3.4,572,5.3k,50,17,80,--
Amazon Services,4.2,541,2.9k,30,--,9,2
H&M,4.0,573,2.4k,46,--,76,5
L&T Power,3.9,562,3.7k,26,--,108,--
Amazon Web Services,4.0,609,5k,136,--,82,--
Citigroup,3.7,599,8.5k,70,7,57,--
Varthana,4.4,571,1.1k,31,9,61,11
Times Internet,3.6,568,5.5k,50,133,73,11
Ugam Solution,3.7,560,4.2k,41,7,102,1
Baxter International,4.1,553,3.1k,33,3,93,--
Flash Electronics,3.7,535,2.3k,26,--,69,--
Lumen Technologies,4.0,565,4.6k,41,--,107,2
Lea Associates South Asia,4.3,555,1.7k,18,1,83,7
Telenor,4.5,498,695,5,--,109,6
The Lalit,3.8,496,1.8k,15,4,83,--
Re Sustainability Limited,4.0,576,2.5k,34,12,80,1
Nippon Life India Asset Management,4.7,567,1.4k,13,6,28,--
Wipro Infrastructure Engineering,3.8,555,3.7k,49,--,90,1
IFFCO,4.1,552,1.8k,34,--,90,2
Rallis India,4.3,568,2.3k,33,1,85,1
Engineers India,4.3,540,3.2k,58,--,80,2
Cogoport,3.0,587,1.8k,46,5,37,--
HP India,4.3,579,2.9k,98,5,59,1
Primus Global Technologies,4.1,567,2.6k,20,18,64,--
Rodic Consultants,4.3,537,1.8k,27,2,71,--
Chennai Radha Engineering Works,4.0,535,2.2k,17,5,97,--
Pratap Technocrats,4.0,554,1.8k,16,--,39,--
Hitachi Systems Micro Clinic,4.0,545,3.3k,23,16,73,--
Tata Cummins,4.5,595,857,45,--,3,--
CSM Technologies,4.5,574,1.5k,23,47,44,20
Eris Lifesciences,3.8,572,2.1k,28,14,78,--
MattsenKumar,3.6,570,2.5k,30,7,86,1
Rico Auto Industries,3.8,549,3.1k,31,--,52,--
Finolex Cables,3.9,536,2.5k,32,10,48,--
Balkrishna Industries,4.1,542,2.7k,33,--,49,--
Denave,3.7,541,2.6k,30,74,81,1
Government of India,4.3,544,3.9k,45,--,84,1
MG Motor,4.0,598,3.6k,49,8,73,--
Astral Adhesives,4.1,556,1.7k,29,26,63,2
Shaktiman Tirth Agro Technology,4.2,545,2.5k,36,--,91,1
Rohan Builders,4.2,541,1.9k,34,18,64,1
Wonder Cement,4.2,568,2.9k,39,142,62,3
Caparo Engineering India,4.0,523,2.7k,23,--,66,1
Crowne Plaza,4.1,513,1.5k,18,--,114,--
EMERSON PROCESS MANAGEMENT,4.1,553,4.1k,35,--,86,4
India Cements,3.8,545,2.4k,41,1,63,1
Biba Apparels,3.9,543,2.1k,32,3,65,1
Naukri,4.0,598,2.5k,148,10,119,15
Ups Logistics,4.0,544,3.2k,42,88,84,--
PUMA,4.3,539,2.3k,36,53,85,--
Indo Autotech,3.8,532,2.6k,27,1,67,1
Skipper,3.8,524,2.4k,24,11,62,3
Central Industrial Security Force,4.5,523,1.6k,12,--,81,1
Hindustan Sanitaryware & Industries,4.1,507,2.5k,20,--,96,--
DP World,4.1,572,2.9k,41,99,65,1
Sharda Motor Industries,3.8,534,2.6k,35,11,88,1
Religare,3.9,533,2.5k,18,25,31,--
Redington,4.0,518,3k,21,--,67,--
Integreon,3.5,537,3.5k,35,54,94,--
JSW Group,4.1,561,3.5k,87,--,62,11
Progressive Infotech,3.5,543,2.8k,31,20,69,7
TDK India,4.0,537,2.2k,26,--,58,9
Neeyamo Enterprise Solutions,3.7,557,3.8k,35,--,70,--
Target,4.3,556,4.6k,74,98,85,--
Isuzu Motors,4.0,534,2.7k,30,--,97,--
Rane (Madras),4.0,530,2k,28,--,66,--
Toyo Engineeering,3.9,530,3.2k,42,2,83,8
Accolite,3.5,577,5.6k,151,108,121,16
Nlb Services,4.0,568,3k,23,23,77,5
Xceedance,3.7,562,4.7k,74,3,79,--
KGISL,3.2,562,4.8k,55,3,122,5
Investors Clinic,3.8,577,1.7k,37,15,33,--
Fleetguard Filters,4.2,544,2.2k,34,2,62,1
MALABAR GOLD AND DIAMONDS,4.2,532,1.7k,48,153,69,21
Zuventus Healthcare,3.9,530,1.8k,30,71,62,1
VA Tech Wabag,4.0,525,2.7k,35,27,89,6
NSB Bpo Solutions,2.9,521,1.6k,26,1,40,1
Ramco Systems,3.5,542,5.1k,32,12,67,12
CMS Computers Limited (INDIA),3.9,515,2.9k,29,15,52,1
HIL,4.2,552,2.2k,37,5,69,--
SKH Metals,4.1,543,2.3k,38,10,63,--
LifeCell International,3.5,532,2.5k,35,23,75,--
Magna International,4.0,552,4k,32,4,72,--
Fortrea Development India Private Limited,4.1,540,4k,62,--,58,3
Ukb Electronics,4.2,547,2k,38,1,106,8
Ingram Micro,3.9,514,3.3k,19,36,68,--
Bses Rajdhani Power,3.8,499,2.3k,27,1,63,--
Radical Minds,2.9,555,2.4k,47,7,37,1
FIITJEE,3.5,548,2.1k,38,14,61,7
ICON Plc,4.2,544,3k,50,74,64,69
Tafe Motors & Tractors,4.0,543,2.2k,32,3,27,--
Sunbeam Auto,3.7,532,2.7k,35,--,56,--
MagicBricks,3.2,540,3.9k,37,41,68,8
Shyam Steel Industries,3.7,532,2.8k,37,4,54,1
Bharti Infratel,4.3,494,1.6k,4,--,74,3
uFaber,2.8,564,1.3k,42,90,58,3
IVY Comptech,4.0,556,5.5k,76,--,100,--
Innodata India Private Limited,3.2,524,1.9k,59,6,54,--
HSBC Bank,4.1,528,3.6k,19,--,23,--
KMV Projects,4.2,512,2k,16,--,86,--
Unimoni,3.8,494,3.1k,14,4,26,--
Ivrcl Infrastructures & Projects,4.3,446,975,4,9,79,--
MasterCard,4.1,558,7.3k,86,3,105,--
Linde India,4.1,523,3.2k,36,7,90,--
JK Paper,4.1,522,2.4k,38,4,77,--
Somany Ceramics,4.3,519,2.3k,10,--,69,--
Ag Industries,4.0,513,2.8k,34,--,59,--
Microtek International,3.7,531,2.4k,31,9,59,--
Ihg Group,4.0,518,2.7k,31,52,100,--
Csc E Governance Services,3.9,514,1.7k,26,5,42,2
Hitachi,4.1,536,3.8k,62,324,66,9
Ienergizer BPO Services,4.2,552,1.5k,56,--,51,2
Integra Software Services,4.0,544,2.5k,23,12,46,--
Zetwerk Manufacturing Businesses,4.1,566,2.6k,59,19,59,143
Epsilon,4.0,546,6.4k,59,14,99,7
Vijay Sales,4.2,539,2.2k,35,1,60,1
Thriveni Earthmovers,4.1,515,2.3k,37,--,90,1
Petpooja,4.4,549,908,34,16,83,19
Orient Electric,4.0,532,2.6k,33,81,52,--
Jain Irrigation Systems,4.0,486,2.2k,17,1,52,--
India Shelter Finance Corporation,4.1,521,2k,23,--,36,--
Mott MacDonald,4.3,513,2.2k,33,1,49,7
National Informatics Centre,4.2,498,4k,31,--,24,--
Sintex Industries,4.1,474,2.3k,18,2,56,--
Marsh McLennan,4.1,536,5.7k,25,--,75,--
Baroda Global Shared Services,4.0,557,2.3k,38,27,29,2
McKinsey & Company,4.0,536,7.4k,227,3,75,5
Sun Life Financial,4.3,523,3.8k,34,47,126,10
Epicenter Technologies,3.6,516,2.3k,33,4,81,--
Rentokil Pest Control,3.8,511,1.9k,25,47,74,--
Parag Milk Foods,4.3,609,2.3k,37,13,57,1
India Japan Lighting,3.9,12,2.3k,34,--,73,--
Royal Caribbean International,3.5,49,804,15,--,64,2
eTeam,3.3,547,3k,28,10,38,--
Sutherland Healthcare Solutions,3.9,520,3.2k,31,--,54,--
Titan Eye Plus,4.3,509,1.4k,25,--,59,1
Raychem RPG,4.0,500,2.3k,20,--,100,6
Omaxe,4.1,470,2.1k,26,1,54,--
Trimax IT Infrastructure Services,3.5,460,1.6k,12,--,36,--
ACTE,4.8,543,67,6,--,187,--
KaaShiv InfoTech Company,4.9,550,213,13,--,11,--
Greenlam Industries,4.2,534,2.2k,31,--,52,--
Hapag-Lloyd,3.9,524,2.7k,20,4,77,--
Micro Turners,3.9,493,2.3k,24,1,50,--
United Spirits,4.0,466,1.8k,11,--,73,--
Cigniti Technologies,3.9,521,6.1k,53,160,52,16
Deepak Nitrite,3.9,498,2.8k,36,14,73,--
Sl Lumax,3.5,493,2.4k,19,--,93,--
Crompton Greaves Consumer Electricals,3.8,549,2.8k,24,1,7,--
Lovely Professional University,3.5,523,1.8k,45,99,52,--
Creambell,4.1,504,1.9k,23,7,76,--
Progressive Infovision,4.3,524,898,18,--,75,--
Atkins,3.9,510,6.1k,50,4,82,11
MPS Limited,4.0,502,2.8k,14,26,49,20
Amway India Enterprises,4.1,478,2.1k,15,4,86,1
mPokket,4.3,574,850,51,5,16,25
Experis IT,3.2,498,3.2k,34,26,37,--
Mynd Solutions Private,3.7,481,3.1k,23,25,44,--
Care Hospital,4.2,479,1.8k,21,14,70,1
Jaro Education,2.6,522,2.1k,105,113,57,--
Bikanervala,4.0,500,2k,13,1,64,--
Aequs,3.7,494,3k,21,14,50,--
